0101010101010101011010101010101010101001010101101010 0101011010101001010101010101010101101010101010101010 separated by 163285
010101001101010101010101010110101010101010101010010101011010101100101010 010101001101010110101010010101010101010101011010101010101010101100101010 separated by 163295
010101001110010101010101010110101010101010101010010101011010011100101010 010101001110010110101010010101010101010101011010101010101010011100101010 separated by 160224
010101010011010101010101010110101010101010101010010101011010110010101010 010101010011010110101010010101010101010101011010101010101010110010101010 separated by 163304
010101010101010101010101010110101010101010101010010101011010101010101010 010101010101010110101010010101010101010101011010101010101010101010101010 separated by 163285
010101010110010101010101010110101010101010101010010101011010011010101010 010101010110010110101010010101010101010101011010101010101010011010101010 separated by 160528
010101011001010101010101010110101010101010101010010101011010100110101010 010101011001010110101010010101010101010101011010101010101010100110101010 separated by 163285
01010101100110010110011001011010011001101001100110011001100110011001100110101010 01010101100110011001100110011001100110010110011001011010011001101001100110101010 separated by 164835
010101011010010101010101010110101010101010101010010101011010010110101010 010101011010010110101010010101010101010101011010101010101010010110101010 separated by 163300
010101011100010101010101010110101010101010101010010101011010001110101010 010101011100010110101010010101010101010101011010101010101010001110101010 separated by 160224
010101100011010101010101010110101010101010101010010101011010110001101010 010101100011010110101010010101010101010101011010101010101010110001101010 separated by 161785
010101100101010101010101010110101010101010101010010101011010101001101010 010101100101010110101010010101010101010101011010101010101010101001101010 separated by 298410
010101100110010101010101010110101010101010101010010101011010011001101010 010101100110010110101010010101010101010101011010101010101010011001101010 separated by 163302
0101011001100110011001100110011001100110100110011001100110010110011001101010 0101011001100110100110011001100110010110011001100110011001100110011001101010 separated by 166090
010101101001010101010101010110101010101010101010010101011010100101101010 010101101001010110101010010101010101010101011010101010101010100101101010 separated by 163285
010101101010010101010101010110101010101010101010010101011010010101101010 010101101010010110101010010101010101010101011010101010101010010101101010 separated by 160528
01010110101001010101010101010101010110101010101010101010101001011010010101101010 01010110101001011010010101010101010101010101101010101010101010101010010101101010 separated by 128735
010101101100010101010101010110101010101010101010010101011010001101101010 010101101100010110101010010101010101010101011010101010101010001101101010 separated by 160224
010101110001010101010101010110101010101010101010010101011010100011101010 010101110001010110101010010101010101010101011010101010101010100011101010 separated by 163285
010101110010010101010101010110101010101010101010010101011010010011101010 010101110010010110101010010101010101010101011010101010101010010011101010 separated by 161785
010101110100010101010101010110101010101010101010010101011010001011101010 010101110100010110101010010101010101010101011010101010101010001011101010 separated by 160224
010101111000010101010101010110101010101010101010010101011010000111101010 010101111000010110101010010101010101010101011010101010101010000111101010 separated by 170208
010110001101010101010101010110101010101010101010010101011010101100011010 010110001101010110101010010101010101010101011010101010101010101100011010 separated by 163299
010110010101010101010101010110101010101010101010010101011010101010011010 010110010101010110101010010101010101010101011010101010101010101010011010 separated by 163285
010110011001010101010101010110101010101010101010010101011010100110011010 010110011001010110101010010101010101010101011010101010101010100110011010 separated by 163285
01011001100110010110011001011010011001101001100110011001100110011001100110011010 01011001100110011001100110011001100110010110011001011010011001101001100110011010 separated by 298393
010110100101010101010101010110101010101010101010010101011010101001011010 010110100101010110101010010101010101010101011010101010101010101001011010 separated by 316302
0101101001100110011001100110011001100110100110011001100110010110011001011010 0101101001100110100110011001100110010110011001100110011001100110011001011010 separated by 162555
010110101001010101010101010110101010101010101010010101011010100101011010 010110101001010110101010010101010101010101011010101010101010100101011010 separated by 163285
010110101010010101010101010110101010101010101010010101011010010101011010 010110101010010110101010010101010101010101011010101010101010010101011010 separated by 160528
010110110001010101010101010110101010101010101010010101011010100011011010 010110110001010110101010010101010101010101011010101010101010100011011010 separated by 163285
010111000101010101010101010110101010101010101010010101011010101000111010 010111000101010110101010010101010101010101011010101010101010101000111010 separated by 315580
010111001001010101010101010110101010101010101010010101011010100100111010 010111001001010110101010010101010101010101011010101010101010100100111010 separated by 163285
010111010001010101010101010110101010101010101010010101011010100010111010 010111010001010110101010010101010101010101011010101010101010100010111010 separated by 163290
010111010100010101010101010110101010101010101010010101011010001010111010 010111010100010110101010010101010101010101011010101010101010001010111010 separated by 160224
010111100001010101010101010110101010101010101010010101011010100001111010 010111100001010110101010010101010101010101011010101010101010100001111010 separated by 171045
011000011101010101010101010110101010101010101010010101011010101110000110 011000011101010110101010010101010101010101011010101010101010101110000110 separated by 171045
011000101011010101010101010110101010101010101010010101011010110101000110 011000101011010110101010010101010101010101011010101010101010110101000110 separated by 163300
011000101101010101010101010110101010101010101010010101011010101101000110 011000101101010110101010010101010101010101011010101010101010101101000110 separated by 163332
011000110101010101010101010110101010101010101010010101011010101011000110 011000110101010110101010010101010101010101011010101010101010101011000110 separated by 163285
011000111001010101010101010110101010101010101010010101011010100111000110 011000111001010110101010010101010101010101011010101010101010100111000110 separated by 163295
01100011100110010110011001011010011001101001100110011001100110011001100111000110 01100011100110011001100110011001100110010110011001011010011001101001100111000110 separated by 70926
011001001010110101010101010110101010101010101010010101011011010100100110 011001001010110110101010010101010101010101011010101010101011010100100110 separated by 31376
011001001101010101010101010110101010101010101010010101011010101100100110 011001001101010110101010010101010101010101011010101010101010101100100110 separated by 163295
011001010011010101010101010110101010101010101010010101011010110010100110 011001010011010110101010010101010101010101011010101010101010110010100110 separated by 161575
011001010101010101010101010110101010101010101010010101011010101010100110 011001010101010110101010010101010101010101011010101010101010101010100110 separated by 163295
011001010110010101010101010110101010101010101010010101011010011010100110 011001010110010110101010010101010101010101011010101010101010011010100110 separated by 160528
011001010110101001010101010110101010101010101010010101010101011010100110 011001010110101010101010010101010101010101011010101010100101011010100110 separated by 31915
011001011001010101010101010110101010101010101010010101011010100110100110 011001011001010110101010010101010101010101011010101010101010100110100110 separated by 163295
01100101100110010110011001011010011001101001100110011001100110011001100110100110 01100101100110011001100110011001100110010110011001011010011001101001100110100110 separated by 164835
011001100101010101010101010110101010101010101010010101011010101001100110 011001100101010110101010010101010101010101011010101010101010101001100110 separated by 298410
01100110010110010110011001011010011001101001100110011001100110011001101001100110 01100110010110011001100110011001100110010110011001011010011001101001101001100110 separated by 161585
0110011001100110011001100110011001100110100110011001100110010110011001100110 0110011001100110100110011001100110010110011001100110011001100110011001100110 separated by 298395
011001101001010101010101010110101010101010101010010101011010100101100110 011001101001010110101010010101010101010101011010101010101010100101100110 separated by 163330
01100110100110010110011001011010011001101001100110011001100110011001100101100110 01100110100110011001100110011001100110010110011001011010011001101001100101100110 separated by 162555
011001101010010101010101010110101010101010101010010101011010010101100110 011001101010010110101010010101010101010101011010101010101010010101100110 separated by 160528
01100110101001010101010101010101010110101010101010101010101001011010010101100110 01100110101001011010010101010101010101010101101010101010101010101010010101100110 separated by 128735
011001110001010101010101010110101010101010101010010101011010100011100110 011001110001010110101010010101010101010101011010101010101010100011100110 separated by 163300
011010001101010101010101010110101010101010101010010101011010101100010110 011010001101010110101010010101010101010101011010101010101010101100010110 separated by 163303
011010010101010101010101010110101010101010101010010101011010101010010110 011010010101010110101010010101010101010101011010101010101010101010010110 separated by 163303
011010010101100101010101010110101010101010101010010101011001101010010110 011010010101100110101010010101010101010101011010101010101001101010010110 separated by 31381
01101001010110010101010101010101010110101010101010101010101001011001101010010110 01101001010110011010010101010101010101010101101010101010101010101001101010010110 separated by 30588
011010011001010101010101010110101010101010101010010101011010100110010110 011010011001010110101010010101010101010101011010101010101010100110010110 separated by 163285
01101001100110010110011001011010011001101001100110011001100110011001100110010110 01101001100110011001100110011001100110010110011001011010011001101001100110010110 separated by 298343
011010100011010101010101010110101010101010101010010101011010110001010110 011010100011010110101010010101010101010101011010101010101010110001010110 separated by 161775
011010100101010101010101010110101010101010101010010101011010101001010110 011010100101010110101010010101010101010101011010101010101010101001010110 separated by 298410
011010100101100101010101010110101010101010101010010101011001101001010110 011010100101100110101010010101010101010101011010101010101001101001010110 separated by 31381
011010100110010101010101010110101010101010101010010101011010011001010110 011010100110010110101010010101010101010101011010101010101010011001010110 separated by 161575
0110101001100110011001100110011001100110100110011001100110010110011001010110 0110101001100110100110011001100110010110011001100110011001100110011001010110 separated by 163825
011010101001010101010101010110101010101010101010010101011010100101010110 011010101001010110101010010101010101010101011010101010101010100101010110 separated by 163285
011010101010010101010101010110101010101010101010010101011010010101010110 011010101010010110101010010101010101010101011010101010101010010101010110 separated by 160528
011010101100010101010101010110101010101010101010010101011010001101010110 011010101100010110101010010101010101010101011010101010101010001101010110 separated by 163303
011010110001010101010101010110101010101010101010010101011010100011010110 011010110001010110101010010101010101010101011010101010101010100011010110 separated by 163285
011011000101010101010101010110101010101010101010010101011010101000110110 011011000101010110101010010101010101010101011010101010101010101000110110 separated by 298410
011011001001010101010101010110101010101010101010010101011010100100110110 011011001001010110101010010101010101010101011010101010101010100100110110 separated by 163285
01101100100110010110011001011010011001101001100110011001100110011001100100110110 01101100100110011001100110011001100110010110011001011010011001101001100100110110 separated by 90235
011011010001010101010101010110101010101010101010010101011010100010110110 011011010001010110101010010101010101010101011010101010101010100010110110 separated by 163295
011011010100010101010101010110101010101010101010010101011010001010110110 011011010100010110101010010101010101010101011010101010101010001010110110 separated by 160224
011011100001010101010101010110101010101010101010010101011010100001110110 011011100001010110101010010101010101010101011010101010101010100001110110 separated by 171045
011100001101010101010101010110101010101010101010010101011010101100001110 011100001101010110101010010101010101010101011010101010101010101100001110 separated by 171049
011100010101010101010101010110101010101010101010010101011010101010001110 011100010101010110101010010101010101010101011010101010101010101010001110 separated by 163612
011100011001010101010101010110101010101010101010010101011010100110001110 011100011001010110101010010101010101010101011010101010101010100110001110 separated by 163285
01110001100110010110011001011010011001101001100110011001100110011001100110001110 01110001100110011001100110011001100110010110011001011010011001101001100110001110 separated by 298343
011100100101010101010101010110101010101010101010010101011010101001001110 011100100101010110101010010101010101010101011010101010101010101001001110 separated by 315577
0111001001100110011001100110011001100110100110011001100110010110011001001110 0111001001100110100110011001100110010110011001100110011001100110011001001110 separated by 163825
011100101001010101010101010110101010101010101010010101011010100101001110 011100101001010110101010010101010101010101011010101010101010100101001110 separated by 163285
011100101010010101010101010110101010101010101010010101011010010101001110 011100101010010110101010010101010101010101011010101010101010010101001110 separated by 160528
011100110001010101010101010110101010101010101010010101011010100011001110 011100110001010110101010010101010101010101011010101010101010100011001110 separated by 163285
011101000101010101010101010110101010101010101010010101011010101000101110 011101000101010110101010010101010101010101011010101010101010101000101110 separated by 316302
011101001001010101010101010110101010101010101010010101011010100100101110 011101001001010110101010010101010101010101011010101010101010100100101110 separated by 163285
011101010001010101010101010110101010101010101010010101011010100010101110 011101010001010110101010010101010101010101011010101010101010100010101110 separated by 163285
011101010010010101010101010110101010101010101010010101011010010010101110 011101010010010110101010010101010101010101011010101010101010010010101110 separated by 163285
011101010100010101010101010110101010101010101010010101011010001010101110 011101010100010110101010010101010101010101011010101010101010001010101110 separated by 160224
011101100001010101010101010110101010101010101010010101011010100001101110 011101100001010110101010010101010101010101011010101010101010100001101110 separated by 171045
011110000101010101010101010110101010101010101010010101011010101000011110 011110000101010110101010010101010101010101011010101010101010101000011110 separated by 315579
011110001001010101010101010110101010101010101010010101011010100100011110 011110001001010110101010010101010101010101011010101010101010100100011110 separated by 163285
011110010001010101010101010110101010101010101010010101011010100010011110 011110010001010110101010010101010101010101011010101010101010100010011110 separated by 163285
011110100001010101010101010110101010101010101010010101011010100001011110 011110100001010110101010010101010101010101011010101010101010100001011110 separated by 171050
011110101000010101010101010110101010101010101010010101011010000101011110 011110101000010110101010010101010101010101011010101010101010000101011110 separated by 171069
011111000001010101010101010110101010101010101010010101011010100000111110 011111000001010110101010010101010101010101011010101010101010100000111110 separated by 171045
100000111101010101010101010110101010101010101010010101011010101111000001 100000111101010110101010010101010101010101011010101010101010101111000001 separated by 171685
100001010111010101010101010110101010101010101010010101011010111010100001 100001010111010110101010010101010101010101011010101010101010111010100001 separated by 170208
100001011101010101010101010110101010101010101010010101011010101110100001 100001011101010110101010010101010101010101011010101010101010101110100001 separated by 171098
100001101101010101010101010110101010101010101010010101011010101101100001 100001101101010110101010010101010101010101011010101010101010101101100001 separated by 171240
100001110101010101010101010110101010101010101010010101011010101011100001 100001110101010110101010010101010101010101011010101010101010101011100001 separated by 171232
100001111001010101010101010110101010101010101010010101011010100111100001 100001111001010110101010010101010101010101011010101010101010100111100001 separated by 171177
100010010101110101010101010110101010101010101010010101011011101010010001 100010010101110110101010010101010101010101011010101010101011101010010001 separated by 35267
100010011101010101010101010110101010101010101010010101011010101110010001 100010011101010110101010010101010101010101011010101010101010101110010001 separated by 163285
100010100111010101010101010110101010101010101010010101011010111001010001 100010100111010110101010010101010101010101011010101010101010111001010001 separated by 161575
100010101011010101010101010110101010101010101010010101011010110101010001 100010101011010110101010010101010101010101011010101010101010110101010001 separated by 163285
100010101101010101010101010110101010101010101010010101011010101101010001 100010101101010110101010010101010101010101011010101010101010101101010001 separated by 163285
100010101110010101010101010110101010101010101010010101011010011101010001 100010101110010110101010010101010101010101011010101010101010011101010001 separated by 160527
100010110101010101010101010110101010101010101010010101011010101011010001 100010110101010110101010010101010101010101011010101010101010101011010001 separated by 163496
100010111001010101010101010110101010101010101010010101011010100111010001 100010111001010110101010010101010101010101011010101010101010100111010001 separated by 163290
100011001101010101010101010110101010101010101010010101011010101100110001 100011001101010110101010010101010101010101011010101010101010101100110001 separated by 163295
100011010101010101010101010110101010101010101010010101011010101010110001 100011010101010110101010010101010101010101011010101010101010101010110001 separated by 163305
100011011001010101010101010110101010101010101010010101011010100110110001 100011011001010110101010010101010101010101011010101010101010100110110001 separated by 163285
10001101100110010110011001011010011001101001100110011001100110011001100110110001 10001101100110011001100110011001100110010110011001011010011001101001100110110001 separated by 164835
100011100101010101010101010110101010101010101010010101011010101001110001 100011100101010110101010010101010101010101011010101010101010101001110001 separated by 315581
1000111001100110011001100110011001100110100110011001100110010110011001110001 1000111001100110100110011001100110010110011001100110011001100110011001110001 separated by 166085
100011101001010101010101010110101010101010101010010101011010100101110001 100011101001010110101010010101010101010101011010101010101010100101110001 separated by 163285
100011101010010101010101010110101010101010101010010101011010010101110001 100011101010010110101010010101010101010101011010101010101010010101110001 separated by 160527
100011110001010101010101010110101010101010101010010101011010100011110001 100011110001010110101010010101010101010101011010101010101010100011110001 separated by 163285
100100010111010101010101010110101010101010101010010101011010111010001001 100100010111010110101010010101010101010101011010101010101010111010001001 separated by 140136
100100011101010101010101010110101010101010101010010101011010101110001001 100100011101010110101010010101010101010101011010101010101010101110001001 separated by 163285
100100100111010101010101010110101010101010101010010101011010111001001001 100100100111010110101010010101010101010101011010101010101010111001001001 separated by 29680
100100101011010101010101010110101010101010101010010101011010110101001001 100100101011010110101010010101010101010101011010101010101010110101001001 separated by 163286
100100101101010101010101010110101010101010101010010101011010101101001001 100100101101010110101010010101010101010101011010101010101010101101001001 separated by 163285
100100110101010101010101010110101010101010101010010101011010101011001001 100100110101010110101010010101010101010101011010101010101010101011001001 separated by 163285
1001001101100110011001100110011001100110100110011001100110010110011011001001 1001001101100110100110011001100110010110011001100110011001100110011011001001 separated by 162025
100100111001010101010101010110101010101010101010010101011010100111001001 100100111001010110101010010101010101010101011010101010101010100111001001 separated by 163290
100101000111010101010101010110101010101010101010010101011010111000101001 100101000111010110101010010101010101010101011010101010101010111000101001 separated by 161775
100101001011010101010101010110101010101010101010010101011010110100101001 100101001011010110101010010101010101010101011010101010101010110100101001 separated by 161775
100101001101010101010101010110101010101010101010010101011010101100101001 100101001101010110101010010101010101010101011010101010101010101100101001 separated by 163295
100101010011010101010101010110101010101010101010010101011010110010101001 100101010011010110101010010101010101010101011010101010101010110010101001 separated by 163300
100101010101010101010101010110101010101010101010010101011010101010101001 100101010101010110101010010101010101010101011010101010101010101010101001 separated by 163285
100101010110010101010101010110101010101010101010010101011010011010101001 100101010110010110101010010101010101010101011010101010101010011010101001 separated by 160527
100101011001010101010101010110101010101010101010010101011010100110101001 100101011001010110101010010101010101010101011010101010101010100110101001 separated by 163285
10010101100110010110011001011010011001101001100110011001100110011001100110101001 10010101100110011001100110011001100110010110011001011010011001101001100110101001 separated by 164835
100101011010010101010101010110101010101010101010010101011010010110101001 100101011010010110101010010101010101010101011010101010101010010110101001 separated by 163300
10010101101010100101010101010101010110101010101010101010101001010101010110101001 10010101101010101010010101010101010101010101101010101010101010100101010110101001 separated by 31915
100101011100010101010101010110101010101010101010010101011010001110101001 100101011100010110101010010101010101010101011010101010101010001110101001 separated by 160223
100101100101010101010101010110101010101010101010010101011010101001101001 100101100101010110101010010101010101010101011010101010101010101001101001 separated by 298410
1001011001100110011001100110011001100110100110011001100110010110011001101001 1001011001100110100110011001100110010110011001100110011001100110011001101001 separated by 166090
100101101001010101010101010110101010101010101010010101011010100101101001 100101101001010110101010010101010101010101011010101010101010100101101001 separated by 163285
100101101010010101010101010110101010101010101010010101011010010101101001 100101101010010110101010010101010101010101011010101010101010010101101001 separated by 161775
10010110101001010101010101010101010110101010101010101010101001011010010101101001 10010110101001011010010101010101010101010101101010101010101010101010010101101001 separated by 128735
100101110001010101010101010110101010101010101010010101011010100011101001 100101110001010110101010010101010101010101011010101010101010100011101001 separated by 163285
100110001101010101010101010110101010101010101010010101011010101100011001 100110001101010110101010010101010101010101011010101010101010101100011001 separated by 163295
100110010101010101010101010110101010101010101010010101011010101010011001 100110010101010110101010010101010101010101011010101010101010101010011001 separated by 163285
1001100101100110011001100110011001100110100110011001100110010110011010011001 1001100101100110100110011001100110010110011001100110011001100110011010011001 separated by 162555
100110011001010101010101010110101010101010101010010101011010100110011001 100110011001010110101010010101010101010101011010101010101010100110011001 separated by 163285
10011001100110010110011001011010011001101001100110011001100110011001100110011001 10011001100110011001100110011001100110010110011001011010011001101001100110011001 separated by 298393
1001100110100110011001100110011001100110100110011001100110010110010110011001 1001100110100110100110011001100110010110011001100110011001100110010110011001 separated by 161586
100110100101010101010101010110101010101010101010010101011010101001011001 100110100101010110101010010101010101010101011010101010101010101001011001 separated by 316302
1001101001100110011001100110011001100110100110011001100110010110011001011001 1001101001100110100110011001100110010110011001100110011001100110011001011001 separated by 162555
100110101001010101010101010110101010101010101010010101011010100101011001 100110101001010110101010010101010101010101011010101010101010100101011001 separated by 163285
100110101010010101010101010110101010101010101010010101011010010101011001 100110101010010110101010010101010101010101011010101010101010010101011001 separated by 160527
100110110001010101010101010110101010101010101010010101011010100011011001 100110110001010110101010010101010101010101011010101010101010100011011001 separated by 163285
100111000101010101010101010110101010101010101010010101011010101000111001 100111000101010110101010010101010101010101011010101010101010101000111001 separated by 315579
1001110001100110011001100110011001100110100110011001100110010110011000111001 1001110001100110100110011001100110010110011001100110011001100110011000111001 separated by 162215
100111001001010101010101010110101010101010101010010101011010100100111001 100111001001010110101010010101010101010101011010101010101010100100111001 separated by 163290
100111010001010101010101010110101010101010101010010101011010100010111001 100111010001010110101010010101010101010101011010101010101010100010111001 separated by 163290
100111010100010101010101010110101010101010101010010101011010001010111001 100111010100010110101010010101010101010101011010101010101010001010111001 separated by 160223
100111100001010101010101010110101010101010101010010101011010100001111001 100111100001010110101010010101010101010101011010101010101010100001111001 separated by 171050
101000010101110101010101010110101010101010101010010101011011101010000101 101000010101110110101010010101010101010101011010101010101011101010000101 separated by 35267
101000011101010101010101010110101010101010101010010101011010101110000101 101000011101010110101010010101010101010101011010101010101010101110000101 separated by 171046
101000100111010101010101010110101010101010101010010101011010111001000101 101000100111010110101010010101010101010101011010101010101010111001000101 separated by 140127
101000101011010101010101010110101010101010101010010101011010110101000101 101000101011010110101010010101010101010101011010101010101010110101000101 separated by 163300
101000101101010101010101010110101010101010101010010101011010101101000101 101000101101010110101010010101010101010101011010101010101010101101000101 separated by 163330
101000110101010101010101010110101010101010101010010101011010101011000101 101000110101010110101010010101010101010101011010101010101010101011000101 separated by 163285
101000111001010101010101010110101010101010101010010101011010100111000101 101000111001010110101010010101010101010101011010101010101010100111000101 separated by 163295
101001001101010101010101010110101010101010101010010101011010101100100101 101001001101010110101010010101010101010101011010101010101010101100100101 separated by 163295
101001010001110101010101010110101010101010101010010101011011100010100101 101001010001110110101010010101010101010101011010101010101011100010100101 separated by 35276
101001010011010101010101010110101010101010101010010101011010110010100101 101001010011010110101010010101010101010101011010101010101010110010100101 separated by 161575
101001010101010101010101010110101010101010101010010101011010101010100101 101001010101010110101010010101010101010101011010101010101010101010100101 separated by 163285
101001010101100101010101010110101010101010101010010101011001101010100101 101001010101100110101010010101010101010101011010101010101001101010100101 separated by 31376
101001010110010101010101010110101010101010101010010101011010011010100101 101001010110010110101010010101010101010101011010101010101010011010100101 separated by 160527
1010010101100101100110010110011001010110011001101001100110101010011010100101 1010010101100101010110011001011001100110101001100110100110011010011010100101 separated by 31915
101001010110101001010101010110101010101010101010010101010101011010100101 101001010110101010101010010101010101010101011010101010100101011010100101 separated by 31915
101001011001010101010101010110101010101010101010010101011010100110100101 101001011001010110101010010101010101010101011010101010101010100110100101 separated by 163295
10100101100110010110011001011010011001101001100110011001100110011001100110100101 10100101100110011001100110011001100110010110011001011010011001101001100110100101 separated by 164835
10100101100110101010011001100101100110010110011010011001011001100101100110100101 10100101100110100110011010011001011001101001100110100110011001010101100110100101 separated by 29680
101001100101010101010101010110101010101010101010010101011010101001100101 101001100101010110101010010101010101010101011010101010101010101001100101 separated by 298410
1010011001100110011001100110011001100110100110011001100110010110011001100101 1010011001100110100110011001100110010110011001100110011001100110011001100101 separated by 316335
101001101001010101010101010110101010101010101010010101011010100101100101 101001101001010110101010010101010101010101011010101010101010100101100101 separated by 163330
101001101010010101010101010110101010101010101010010101011010010101100101 101001101010010110101010010101010101010101011010101010101010010101100101 separated by 160527
10100110101001010101010101010101010110101010101010101010101001011010010101100101 10100110101001011010010101010101010101010101101010101010101010101010010101100101 separated by 128735
101001110001010101010101010110101010101010101010010101011010100011100101 101001110001010110101010010101010101010101011010101010101010100011100101 separated by 163300
101010000101110101010101010110101010101010101010010101011011101000010101 101010000101110110101010010101010101010101011010101010101011101000010101 separated by 35267
101010000111010101010101010110101010101010101010010101011010111000010101 101010000111010110101010010101010101010101011010101010101010111000010101 separated by 171045
101010001011010101010101010110101010101010101010010101011010110100010101 101010001011010110101010010101010101010101011010101010101010110100010101 separated by 161575
101010001101010101010101010110101010101010101010010101011010101100010101 101010001101010110101010010101010101010101011010101010101010101100010101 separated by 163295
101010001110010101010101010110101010101010101010010101011010011100010101 101010001110010110101010010101010101010101011010101010101010011100010101 separated by 161585
101010010001110101010101010110101010101010101010010101011011100010010101 101010010001110110101010010101010101010101011010101010101011100010010101 separated by 35276
101010010011010101010101010110101010101010101010010101011010110010010101 101010010011010110101010010101010101010101011010101010101010110010010101 separated by 161575
101010010101010101010101010110101010101010101010010101011010101010010101 101010010101010110101010010101010101010101011010101010101010101010010101 separated by 163285
101010010101100101010101010110101010101010101010010101011001101010010101 101010010101100110101010010101010101010101011010101010101001101010010101 separated by 31376
101010010110010101010101010110101010101010101010010101011010011010010101 101010010110010110101010010101010101010101011010101010101010011010010101 separated by 160527
101010011001010101010101010110101010101010101010010101011010100110010101 101010011001010110101010010101010101010101011010101010101010100110010101 separated by 163285
10101001100110010110011001011010011001101001100110011001100110011001100110010101 10101001100110011001100110011001100110010110011001011010011001101001100110010101 separated by 298393
101010011010010101010101010110101010101010101010010101011010010110010101 101010011010010110101010010101010101010101011010101010101010010110010101 separated by 160527
101010011100010101010101010110101010101010101010010101011010001110010101 101010011100010110101010010101010101010101011010101010101010001110010101 separated by 161685
101010100011010101010101010110101010101010101010010101011010110001010101 101010100011010110101010010101010101010101011010101010101010110001010101 separated by 163330
101010100101010101010101010110101010101010101010010101011010101001010101 101010100101010110101010010101010101010101011010101010101010101001010101 separated by 298410
101010100101100101010101010110101010101010101010010101011001101001010101 101010100101100110101010010101010101010101011010101010101001101001010101 separated by 31376
101010100110010101010101010110101010101010101010010101011010011001010101 101010100110010110101010010101010101010101011010101010101010011001010101 separated by 161685
1010101001100110011001100110011001100110100110011001100110010110011001010101 1010101001100110100110011001100110010110011001100110011001100110011001010101 separated by 162555
101010101001010101010101010110101010101010101010010101011010100101010101 101010101001010110101010010101010101010101011010101010101010100101010101 separated by 163285
101010101010010101010101010110101010101010101010010101011010010101010101 101010101010010110101010010101010101010101011010101010101010010101010101 separated by 160527
101010101100010101010101010110101010101010101010010101011010001101010101 101010101100010110101010010101010101010101011010101010101010001101010101 separated by 163295
101010110001010101010101010110101010101010101010010101011010100011010101 101010110001010110101010010101010101010101011010101010101010100011010101 separated by 163285
101010110010010101010101010110101010101010101010010101011010010011010101 101010110010010110101010010101010101010101011010101010101010010011010101 separated by 161585
101010110100010101010101010110101010101010101010010101011010001011010101 101010110100010110101010010101010101010101011010101010101010001011010101 separated by 161585
101010111000010101010101010110101010101010101010010101011010000111010101 101010111000010110101010010101010101010101011010101010101010000111010101 separated by 170208
101011000101010101010101010110101010101010101010010101011010101000110101 101011000101010110101010010101010101010101011010101010101010101000110101 separated by 298410
101011001001010101010101010110101010101010101010010101011010100100110101 101011001001010110101010010101010101010101011010101010101010100100110101 separated by 163285
101011001010010101010101010110101010101010101010010101011010010100110101 101011001010010110101010010101010101010101011010101010101010010100110101 separated by 160527
101011010001010101010101010110101010101010101010010101011010100010110101 101011010001010110101010010101010101010101011010101010101010100010110101 separated by 163295
101011010100010101010101010110101010101010101010010101011010001010110101 101011010100010110101010010101010101010101011010101010101010001010110101 separated by 160223
101011100001010101010101010110101010101010101010010101011010100001110101 101011100001010110101010010101010101010101011010101010101010100001110101 separated by 171046
101100001101010101010101010110101010101010101010010101011010101100001101 101100001101010110101010010101010101010101011010101010101010101100001101 separated by 171048
101100010101010101010101010110101010101010101010010101011010101010001101 101100010101010110101010010101010101010101011010101010101010101010001101 separated by 163620
101100011001010101010101010110101010101010101010010101011010100110001101 101100011001010110101010010101010101010101011010101010101010100110001101 separated by 163285
10110001100110010110011001011010011001101001100110011001100110011001100110001101 10110001100110011001100110011001100110010110011001011010011001101001100110001101 separated by 298393
101100100101010101010101010110101010101010101010010101011010101001001101 101100100101010110101010010101010101010101011010101010101010101001001101 separated by 315577
1011001001100110011001100110011001100110100110011001100110010110011001001101 1011001001100110100110011001100110010110011001100110011001100110011001001101 separated by 163825
101100101001010101010101010110101010101010101010010101011010100101001101 101100101001010110101010010101010101010101011010101010101010100101001101 separated by 163285
101100101010010101010101010110101010101010101010010101011010010101001101 101100101010010110101010010101010101010101011010101010101010010101001101 separated by 160527
101100110001010101010101010110101010101010101010010101011010100011001101 101100110001010110101010010101010101010101011010101010101010100011001101 separated by 163285
1011001100100110011001100110011001100110100110011001100110010110010011001101 1011001100100110100110011001100110010110011001100110011001100110010011001101 separated by 159951
101101000101010101010101010110101010101010101010010101011010101000101101 101101000101010110101010010101010101010101011010101010101010101000101101 separated by 315577
1011010001100110011001100110011001100110100110011001100110010110011000101101 1011010001100110100110011001100110010110011001100110011001100110011000101101 separated by 162215
101101001001010101010101010110101010101010101010010101011010100100101101 101101001001010110101010010101010101010101011010101010101010100100101101 separated by 163285
101101010001010101010101010110101010101010101010010101011010100010101101 101101010001010110101010010101010101010101011010101010101010100010101101 separated by 163285
101101010010010101010101010110101010101010101010010101011010010010101101 101101010010010110101010010101010101010101011010101010101010010010101101 separated by 163285
101101010100010101010101010110101010101010101010010101011010001010101101 101101010100010110101010010101010101010101011010101010101010001010101101 separated by 160223
101101100001010101010101010110101010101010101010010101011010100001101101 101101100001010110101010010101010101010101011010101010101010100001101101 separated by 171045
101110000101010101010101010110101010101010101010010101011010101000011101 101110000101010110101010010101010101010101011010101010101010101000011101 separated by 315581
101110001001010101010101010110101010101010101010010101011010100100011101 101110001001010110101010010101010101010101011010101010101010100100011101 separated by 163285
101110001010010101010101010110101010101010101010010101011010010100011101 101110001010010110101010010101010101010101011010101010101010010100011101 separated by 160527
101110010001010101010101010110101010101010101010010101011010100010011101 101110010001010110101010010101010101010101011010101010101010100010011101 separated by 163285
